Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mitre.fast.access-control.json	18603	-	0	0	0	0	0	0	2	58	0	0	0	0	0	0	0	0	0	0	247	91	0	0	0	1	4	0	4
fsh-generated/resources/Basic-OAuthRegistrationRequest1.json	728	3	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-AccessControlRequirements.json	375	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CmsInteroperabilityPolicyCodes.json	1411	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	1479	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentExchangeRelationships.json	394	7	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PayorToPayorExchangePolicyCodes.json	927	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonOrg.json	1895	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonPatient.json	1889	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonPractitioner.json	2068	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentClinicianOrg.json	2103	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentClinicianPatient.json	2093	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentPatientOwner.json	1887	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentSystemPatient.json	2075	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-canAccess.json	1010	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	1
fsh-generated/resources/OperationDefinition-diff.json	889	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-digest.json	758	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-equals.json	896	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-oauthScopes.json	1733	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-parseToBundle.json	1759	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-rollup.json	1707	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-toAcl.json	1713	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/Organization-stdymphnas.json	1387	2	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	1	0	0	13	11	0	0	0	0	0	0	0
fsh-generated/resources/Organization-stjames.json	201	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-jane-doe.json	2552	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-jennifer-smith.json	3772	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-john-smith.json	2540	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-katie-klepti.json	2446	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-alison-camron.json	528	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-susan-social.json	524	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-fast-patient-privacy.json	5389	1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	119	28	0	0	1	0	2	0	0
fsh-generated/resources/Questionnaire-leap-dnr.json	3103	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	59	141	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-leap-livingwill.json	4194	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	76	33	0	0	0	0	1	0	0
