Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mitre.fast.access-control.json	18603	-	0	0	0	0	0	0	3	359	0	0	0	0	0	0	0	1	0	0	127	96	0	0	0	0	3	0	0
fsh-generated/resources/Organization-stjames.json	201	3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-leap-dnr.json	3103	2	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	56	22	0	0	0	0	1	0	0
fsh-generated/resources/Consent-ConsentAnonPatient.json	1889	2	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0	0
fsh-generated/resources/TestScript-TestScript-Scenario2A.json	13152	10	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	58	27	0	0	0	0	1	0	1
fsh-generated/resources/Questionnaire-leap-poamentalhealth.json	5906	4	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	93	43	0	0	0	0	1	0	0
fsh-generated/resources/StructureMap-PoaQuestinonaireToConsent.json	761	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	27	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-PoaContractToConsent.json	741	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	1	0	0
fsh-generated/resources/Basic-OAuthRegistrationRequest1.json	728	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-LivingWillToConsent.json	737	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0	0
fsh-generated/resources/Organization-stdymphnas.json	1387	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-oauthScopes.json	1733	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-jennifer-smith.json	3772	29	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-digest.json	758	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-john-smith.json	2540	18	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentExchangePolicies.json	569	1	0	0	1	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	5	5425	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-toAcl.json	1713	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-PoaMentalHealthToConsent.json	772	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	1
fsh-generated/resources/TestScript-TestScript-Scenario1A.json	13155	8	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	57	20	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ConsentToAcces.json	4059	170	0	0	0	0	0	1239	0	1241	0	0	0	0	0	0	0	1	0	0	273	1992	0	0	0	0	9	0	1
fsh-generated/resources/ValueSet-consent-exchange-category-codes.json	1148	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	73	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PayorToPayorExchangePolicyCodes.json	927	1	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	8	27	0	0	0	0	1	0	0
fsh-generated/resources/StructureMap-FirstNameToGiven.json	706	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-susan-social.json	524	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-DnrToConsent.json	723	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-HipaaPrivacyToConsent.json	745	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-OAuthTokenResponse.json	3121	84	0	0	0	0	0	167	0	170	0	0	0	0	0	0	0	0	0	0	41	114	0	0	0	0	1	0	0
fsh-generated/resources/Consent-ConsentClinicianPatient.json	2093	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	2
fsh-generated/resources/TestScript-TestScript-Scenario2E.json	13153	7	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	57	19	0	0	0	0	1	0	1
fsh-generated/resources/Practitioner-practitioner-alison-camron.json	528	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CmsInteroperabilityPolicyCodes.json	1411	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	27	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-leap-livingwill.json	4194	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	64	15	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentExchangeRelations.json	914	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	170	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-jane-doe.json	2552	18	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0
fsh-generated/resources/TestScript-TestScript-Scenario1B.json	13155	7	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	64	20	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-PolstToConsent.json	751	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentExchangeRelationships.json	394	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	23	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-leap-poahealthcare.json	10559	7	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	181	32	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-OAuthRegistrationResponse.json	2916	70	0	0	0	0	0	156	0	145	0	0	0	0	0	0	0	0	0	0	36	118	0	0	0	0	1	0	0
fsh-generated/resources/TestScript-TestScript-gszMyXpwsdoAjJZeh.json	5257	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	28	15	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-leap-patient-privacy.json	5389	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	95	20	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-consent-exchange-scope-codes.json	735	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0	0
fsh-generated/resources/TestScript-TestScript-Scenario2D.json	13163	7	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	53	19	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentAnonOrg.json	1895	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-parseToBundle.json	1759	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	1	0	0
fsh-generated/resources/Patient-patient-katie-klepti.json	2446	18	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentPatientOwner.json	1887	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-AccessControlRequirements.json	375	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ConsentClinicianOrg.json	2103	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/TestScript-TestScript-Scenario2C.json	7495	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	34	16	0	0	0	0	0	0	1
fsh-generated/resources/Consent-ConsentSystemPatient.json	2075	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/TestScript-TestScript-Scenario3.json	1793	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-OAuthAuthenticationResponse.json	2015	35	0	0	0	0	0	80	0	74	0	0	0	0	0	0	0	0	0	0	26	90	0	0	0	0	1	0	0
fsh-generated/resources/Consent-ConsentAnonPractitioner.json	2068	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-rollup.json	1707	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-leap-polst.json	10912	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	170	27	0	0	0	0	3	0	0
fsh-generated/resources/OperationDefinition-canAccess.json	1010	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-diff.json	889	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-fast-patient-privacy.json	5389	6	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	89	17	0	0	0	0	2	0	0
fsh-generated/resources/TestScript-TestScript-Scenario2B.json	13155	7	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	58	18	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-OAuthAuthenticationRequest.json	3852	108	0	0	0	0	0	221	0	232	0	0	0	0	0	0	0	0	0	0	46	126	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-OAuthRegistrationRequest.json	4007	103	0	0	0	0	0	222	0	230	0	0	0	0	0	0	0	0	0	0	54	245	0	0	0	0	0	0	0
fsh-generated/resources/StructureMap-LastNameToFamily.json	705	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-equals.json	896	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0
/input/examples/Binary-auth-request-3.fsh	309	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0
/input/examples/Binary-auth-response-3.fsh	226	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0
/input/examples/Binary-registration-request-3.fsh	241	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0
/input/examples/Binary-registration-response-3.fsh	201	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0
/input/examples/Binary-token-response-3.fsh	236	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0
